;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Channels Team;Channels Team;Order Management Team;Channels Team;Channels Team;Channels Team;Channels Team;Channels Team;Channels Team;Channels Team;Order Management Team;Billing Team;Infra Team;Infra Team;Infra Team;Order Management Team;Order Management Team;Order Management Team;Order Management Team;Order Management Team;Infra Team;Infra Team;Infra Team;Order Management Team;Security Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Order Management Team;Infra Team;Order Management Team;Infra Team
;App_Eri_AIR_PROD;App_Eri_CCN_PROD;App_Eri_CSN_PROD;App_Eri_EMA_PROD;App_Eri_EMM_PROD;App_Eri_NGV_PROD;App_Eri_OCC_PROD;App_Eri_SAPC_PROD;App_Eri_SDP_PROD;APP_QVN_CSRTB;App_Qv_Audit_PROD;App_Qv_BSSAPI_PROD;App_Qv_FIMED_PROD;App_Qv_InvFmt_PROD;App_Qv_MQ_PROD;App_Qv_MWBE_PROD;App_Qv_MWDB_PROD;App_Qv_MWFE_PROD;App_Qv_OE_PROD;App_Qv_QAPI_PROD;App_Qv_RBS_PROD;App_Qv_Sentry_PROD;App_Qv_SOBE_PROD;App_Qv_SOFE_PROD;App_Qv_Webapp_PROD;App_Qv_WebBE_PROD;App_Qv_WebDB_PROD;App_Qv_WebFE_PROD;App_Telepine_PROD;DZ-HWFW-CH;DZ-HWR-CH;DZ-HWSW-CH;Enhancesys;ERI_App_SIEM;ERI_ESXI_PROD;HP_SA-Switch;HW_BladesServer_HP_PROD;HW_Chasis_PROD;HW_Firewall_Jun_PROD;HW_HP_BladesServer_NOPROD;HW_LB_PROD;HW_RackServer_HP_PROD;HW_SAN_Switch_PROD;HW_SSP;HW_STORAGE_HP_NOPROD;HW_STORAGE_HP_PROD;HW_Switches_Aruba_PROD;HW_Switch_HP_PROD;HW_VCENTER_PROD;HW_Zabbix_Proxy;KPIDB;NOPROD;OpenCode;virtual machines
;AIR12_int0;CCN01;m4csnmt2;ALGS1-L-EMA1;djezzy-dc1-FE-Server1;blidangvstesta;dc1occ05;ALGS1PROD1SAPC;m2sdp13a;;;rc51e00h001a;rc51e00vm015a;rc51e00vm011a;rc51e00vm012a;rc51e00vm008a;rc51e00vm017a;rc51e00vm007a;rc51e00vm019a;rc51e00vm006a;rc51e00vm018a;rc51e00vm022;rc51e00vm021;rc51e00vm020a;rc51e00vm003a;rc51e00vm004;rc51e00vm016a;rc51e00vm001a;dzalb01a1;BatFW_CH_01;BatR_CH_01;BatSW_CH_01;enhIntWS1;alg-eric-siem-qr-con.dbss.otalgerie.com;ALG-S1-L-C001xBS001;ALG-S1-L-C001-SAN-SW01;ALG-S1-L-C001xBS001-ILO.dbss.otalgerie.com;ALG-S1-L-C001-OA1;DZ-DC1-FRW-FW001;ALG-S1-T1-C007xBS003;ALG-S1-L-LB-1.dbss.otalgerie.com;ALG-DMZ-L-R001-ILO.dbss.otalgerie.com;ALG-S1-L-C001-SAN-SW01;SPCZ372137MD;STR001;ALG-S1-L-STR001;DZ-DC1-OOB-NW001;DZ-DC1-BLS-C001-SW01-2;Vcenter ALG-S1-L-ERI-VC;ALG-S1-L-ERI-MITO01_.9;KPIDB;ALG-S1-T1-C007xBS003;s1ipgw1;snmp_trap
;AIR12_int2;CCN02;m8csnmt3;ALGS1-L-EMA2;djezzy-dc1-FE-Server2;consngvs2a;dc1occ06;ALGS2PROD2SAPC;m2sdp13b;;;rc51e00h001b;rc51e00vm015b;rc51e00vm011b;rc51e00vm012b;rc51e00vm008b;rc51e00vm017b;rc51e00vm007b;rc51e00vm019b;rc51e00vm006b;rc51e00vm018b;;;rc51e00vm020b;rc51e00vm003aa;;rc51e00vm016b;rc51e00vm001b;dzalb01a2;BatFW_CH_02;BatR_CH_02;BatSW_CH_02;enhIntWS2;alg-eric-siem-qr-ep1.dbss.otalgerie.com;ALG-S1-L-C001xBS002;ALG-S1-L-C001-SAN-SW02;ALG-S1-L-C001xBS002-ILO.dbss.otalgerie.com;ALG-S1-L-C001-OA2;DZ-DC2-FRW-FW001;;ALG-S1-T-LB-1.dbss.otalgerie.com;ALG-DMZ-L-R002-ILO.dbss.otalgerie.com;ALG-S1-L-C001-SAN-SW02;SPCZ372137MN;;ALG-S2-L-STR001;DZ-DC1-OOB-NW002;DZ-DC1-BLS-C001-SW03-4;Vcenter ALG-S2-L-ERI-VC;ALG-S1-L-ERI-MITOBCM01;;;s1ipgw2;
;AIR13_int0;CCN03;m11csnmt1;ALGS1-L-EMA3;djezzy-dc1-FE-Server3;consngvs2b;dc2occ07;;m2sdp27a;;;rc51e00h001c;;rc51e00vm011c;rc51e00vm012c;rc51e00vm008c;rc51e00vm017c;rc51e00vm007c;;rc51e00vm006c;;;;;rc51e00vm003b;;rc51e00vm016c;rc51e00vm001c;dzalb02a1;BdaFW_CH_01;BdaR_CH_01;BdaSW_CH_01;enh_analy_db_1;alg-eric-siem-qr-ep2.dbss.otalgerie.com;ALG-S1-L-C001xBS003;ALG-S1-L-C002-SAN-SW01;ALG-S1-L-C001xBS003-ILO.dbss.otalgerie.com;ALG-S1-L-C002-OA1;;;ALG-S1-T-LB-2.dbss.otalgerie.com;ALG-DMZ-L-R003-ILO.dbss.otalgerie.com;ALG-S1-L-C002-SAN-SW01;;;;DZ-DC1-OOB-NW003;DZ-DC1-BLS-C0010-SW01-2;;URL Monitoring;;;s1ussdbr1;
;AIR13_int2;CCN04;;ALGS1-L-EMA4;djezzy-dc1-FE-Server4;consngvs2c;dc2occ08;;m2sdp27b;;;rc51e00h001d;;rc51e00vm011d;;rc51e00vm008d;;rc51e00vm007d;;rc51e00vm006d;;;;;rc51e00vm003bb;;rc51e00vm016d;rc51e00vm001d;dzalb02a2;BdaFW_CH_02;BdaR_CH_02;BdaSW_CH_02;enh_analy_db_2;siem_integration;ALG-S1-L-C001xBS005;ALG-S1-L-C002-SAN-SW02;ALG-S1-L-C001xBS005-ILO.dbss.otalgerie.com;ALG-S1-L-C002-OA2;;;ALG-S2-L-LB-2.dbss.otalgerie.com;ALG-DMZ-L-R004-ILO.dbss.otalgerie.com;ALG-S1-L-C002-SAN-SW02;;;;DZ-DC1-OOB-NW004;DZ-DC1-BLS-C0010-SW03-4;;zabbix-proxy-algeria-node1;;;s1ussdbr2;
;AIR14_int0;CCN05;;ALGS1-L-EMA5;djezzy-dc1-FE-Server5;rouibangvs1a;m02occ3;;m4sdp24a;;;rc51e00h001e;;rc51e00vm011e;;rc51e00vm008e;;rc51e00vm007e;;rc51e00vm006e;;;;;rc51e00vm003c;;rc51e00vm016e;rc51e00vm001e;dzstd01a;Co1FW_CH_01;Co1R_CH_01;Co1SW_CH_01;enh_batch_1;;ALG-S1-L-C001xBS006;ALG-S1-L-C003-SAN-SW01;ALG-S1-L-C001xBS006-ILO.dbss.otalgerie.com;ALG-S1-L-C003-OA1;;;;;ALG-S1-L-C003-SAN-SW01;;;;DZ-DC2-OOB-NW001;DZ-DC1-BLS-C0011-SW01-2;;zabbix-proxy-algeria-node2;;;s1ussdgw1;
;AIR14_int2;CCN06;;ALGS1-L-EMA6;djezzy-dc1-FE-Server6;rouibangvs1b;m04occ1;;m4sdp24b;;;rc51e00h001f;;rc51e00vm011f;;rc51e00vm008f;;rc51e00vm007f;;rc51e00vm006f;;;;;rc51e00vm003cc;;;rc51e00vm001f;dzstd01b;Co1FW_CH_02;Co1R_CH_02;Co1SW_CH_02;enh_core_db_1;;ALG-S1-L-C001xBS007;ALG-S1-L-C003-SAN-SW02;ALG-S1-L-C001xBS007-ILO.dbss.otalgerie.com;ALG-S1-L-C003-OA2;;;;;ALG-S1-L-C003-SAN-SW02;;;;DZ-DC2-OOB-NW002;DZ-DC1-BLS-C0011-SW03-4;;zabbix-proxy_host_2;;;s1ussdgw2;
;AIR15_int0;CCN07;;ALGS1-L-EMA7;djezzy-dc1-FE-Server7;rouibangvs1c;m07occ4;;m4sdp26a;;;rc51e00h002a;;rc51e00vm011g;;rc51e00vm008g;;rc51e00vm007g;;rc51e00vm006g;;;;;rc51e00vm003d;;;rc51e00vm001g;dzstd01c;Co2FW_CH_01;Co2R_CH_01;Co2SW_CH_01;enh_core_db_2;;ALG-S1-L-C001xBS008;ALG-S1-L-C004-SAN-SW01;ALG-S1-L-C001xBS008-ILO.dbss.otalgerie.com;ALG-S1-L-C004-OA1;;;;;ALG-S1-L-C004-SAN-SW01;;;;;DZ-DC1-BLS-C0012-SW01-2;;zabbixproxy-node1;;;s2ipgw1;
;AIR15_int2;CCN08;;ALGS2-L-EMA1;djezzy-dc1-FE-Server8;;m10occ2;;m4sdp26b;;;rc51e00h002b;;rc51e00vm011h;;rc51e00vm008h;;rc51e00vm007h;;rc51e00vm006h;;;;;rc51e00vm003dd;;;rc51e00vm001h;dzstd01d;Co2FW_CH_02;Co2R_CH_02;Co2SW_CH_02;enh_ui_server_1;;ALG-S1-L-C001xBS013;ALG-S1-L-C004-SAN-SW02;ALG-S1-L-C001xBS013-ILO.dbss.otalgerie.com;ALG-S1-L-C004-OA2;;;;;ALG-S1-L-C004-SAN-SW02;;;;;DZ-DC1-BLS-C0012-SW03-4;;zabbixproxy-node1-secondary;;;s2ipgw2;
;AIR16_int0;CCN09;;ALGS2-L-EMA2;djezzy-dc1-FE-Server9;;OCCDEV;;m5sdp25a;;;rc51e00h002c;;rc51e00vm011i;;;;;;;;;;;rc51e00vm003e;;;;dzstd02a;DebFW_CH_01;DebR_CH_01;DebSW_CH_01;enh_ui_server_2;;ALG-S1-L-C001xBS014;ALG-S1-L-C005-SAN-SW01;ALG-S1-L-C001xBS014-ILO.dbss.otalgerie.com;ALG-S1-L-C005-OA1;;;;;ALG-S1-L-C005-SAN-SW01;;;;;DZ-DC1-BLS-C002-SW01-2;;zabbixproxy-node2-secondary;;;s2ussdbr1;
;AIR16_int2;CCN10;;ALGS2-L-EMA3;djezzy-dc1-FE-Server10;;;;m5sdp25b;;;rc51e00h002d;;rc51e00vm011j;;;;;;;;;;;rc51e00vm003ee;;;;dzstd02b;DebFW_CH_02;DebR_CH_02;DebSW_CH_02;;;ALG-S1-L-C002xBS001;ALG-S1-L-C005-SAN-SW02;ALG-S1-L-C002xBS001-ILO.dbss.otalgerie.com;ALG-S1-L-C005-OA2;;;;;ALG-S1-L-C005-SAN-SW02;;;;;DZ-DC1-BLS-C002-SW03-4;;;;;s2ussdbr2;
;m2air12;CCN11;;ALGS2-L-EMA4;djezzy-dc1-mm-esa;;;;m8sdp22a;;;rc51e00h002e;;rc51e00vm011k;;;;;;;;;;;rc51e00vm003f;;;;dzstd02c;DelFW_CH_01;DelR_CH_01;DelSW_CH_01;;;ALG-S1-L-C002xBS002;ALG-S1-L-C006-SAN-SW01;ALG-S1-L-C002xBS002-ILO.dbss.otalgerie.com;ALG-S1-L-C006-OA1;;;;;ALG-S1-L-C006-SAN-SW01;;;;;DZ-DC1-BLS-C003-SW01-2;;;;;s2ussdgw1;
;m3air13;;;ALGS2-L-EMA5;djezzy-dc1-mm-mgr;;;;m8sdp22b;;;rc51e00h002f;;rc51e00vm011l;;;;;;;;;;;rc51e00vm003ff;;;;dzstd02d;DelFW_CH_02;DelR_CH_02;DelSW_CH_02;;;ALG-S1-L-C002xBS003;ALG-S1-L-C006-SAN-SW02;ALG-S1-L-C002xBS003-ILO.dbss.otalgerie.com;ALG-S1-L-C006-OA2;;;;;ALG-S1-L-C006-SAN-SW02;;;;;DZ-DC1-BLS-C003-SW03-4;;;;;s2ussdgw2;
;m4air15;;;ALGS2-L-EMA6;djezzy-dc1-mm-sentinel;;;;m8sdp23a;;;;;rc51e00vm011m;;;;;;;;;;;rc51e00vm003g;;;;dzstp01a;Or1FW_CH_01;Or1R_CH_01;Or1SW_CH_01;;;ALG-S1-L-C002xBS005;ALG-S1-L-SAN-SW01;ALG-S1-L-C002xBS005-ILO.dbss.otalgerie.com;ALG-S2-L-C001-OA1;;;;;ALG-S1-L-SAN-SW01;;;;;DZ-DC1-BLS-C004-SW01-2;;;;;;
;m5air14;;;ALGS2-L-EMA7;djezzy-dc1-mm-Tracer;;;;m8sdp23b;;;;;rc51e00vm011n;;;;;;;;;;;rc51e00vm003h;;;;dzstp01b;Or1FW_CH_02;Or1R_CH_02;Or1SW_CH_02;;;ALG-S1-L-C002xBS006;ALG-S1-L-SAN-SW02;ALG-S1-L-C002xBS006-ILO.dbss.otalgerie.com;ALG-S2-L-C001-OA2;;;;;ALG-S1-L-SAN-SW02;;;;;DZ-DC1-BLS-C004-SW03-4;;;;;;
;m7air16;;;EMA_VIP_OAM_DC1;djezzy-dc1-mm1;;;;m9sdp14a;;;;;rc51e00vm011o;;;;;;;;;;;rc51e00vm003i;;;;dzstp02a;Or2FW_CH_01;Or2R_CH_01;Or2SW_CH_01;;;ALG-S1-L-C002xBS007;ALG-S2-L-C001-SAN-SW01;ALG-S1-L-C002xBS007-ILO.dbss.otalgerie.com;ALG-S2-L-C002-OA1;;;;;ALG-S2-L-C001-SAN-SW01;;;;;DZ-DC1-BLS-C005-SW01-2;;;;;;
;m8air6;;;EMA_VIP_OAM_DC2;djezzy-dc1-mm2;;;;m9sdp14b;;;;;rc51e00vm011p;;;;;;;;;;;rc51e00vm003j;;;;dzstp02b;Or2FW_CH_02;Or2R_CH_02;Or2SW_CH_02;;;ALG-S1-L-C002xBS008;ALG-S2-L-C001-SAN-SW02;ALG-S1-L-C002xBS008-ILO.dbss.otalgerie.com;ALG-S2-L-C002-OA2;;;;;ALG-S2-L-C001-SAN-SW02;;;;;DZ-DC1-BLS-C005-SW03-4;;;;;;
;m8air7;;;;djezzy-dc1-mm3;;;;m9sdp16a;;;;;;;;;;;;;;;;rc51e00vm003k;;;;dzstw01a;RbaFW_CH_01;Rba_M10i_R01;RbaSW_CH_01;;;ALG-S1-L-C002xBS013;ALG-S2-L-C002-SAN-SW01;ALG-S1-L-C002xBS013-ILO.dbss.otalgerie.com;ALG-S2-L-C003-OA1;;;;;ALG-S2-L-C002-SAN-SW01;;;;;DZ-DC1-BLS-C006-SW01-2;;;;;;
;m9air8;;;;djezzy-dc1-mm4;;;;m9sdp16b;;;;;;;;;;;;;;;;rc51e00vm003l;;;;dzstw01b;RbaFW_CH_02;Rba_M10i_R02;RbaSW_CH_02;;;ALG-S1-L-C003xBS001;ALG-S2-L-C002-SAN-SW02;ALG-S1-L-C003xBS001-ILO.dbss.otalgerie.com;ALG-S2-L-C003-OA2;;;;;ALG-S2-L-C002-SAN-SW02;;;;;DZ-DC1-BLS-C006-SW03-4;;;;;;
;m9air9;;;;djezzy-dc1-mm5;;;;m10sdp15a;;;;;;;;;;;;;;;;rc51e00vm003m;;;;dzstw02a;SetFW_CH_01;SetR_CH_01;SetSW_CH_01;;;ALG-S1-L-C003xBS002;ALG-S2-L-C003-SAN-SW01;ALG-S1-L-C003xBS002-ILO.dbss.otalgerie.com;ALG-S2-L-C004-OA1;;;;;ALG-S2-L-C003-SAN-SW01;;;;;DZ-DC1-BLS-C007-SW01-2;;;;;;
;m10air04;;;;djezzy-dc1-mm6;;;;m10sdp15b;;;;;;;;;;;;;;;;rc51e00vm003n;;;;dzstw02b;SetFW_CH_02;SetR_CH_02;SetSW_CH_02;;;ALG-S1-L-C003xBS003;ALG-S2-L-C003-SAN-SW02;ALG-S1-L-C003xBS003-ILO.dbss.otalgerie.com;ALG-S2-L-C004-OA2;;;;;ALG-S2-L-C003-SAN-SW02;;;;;DZ-DC1-BLS-C007-SW03-4;;;;;;
;m10air05;;;;djezzy-dc1-mm7;;;;m11sdp20a;;;;;;;;;;;;;;;;rc51e00vm003o;;;;;;;;;;ALG-S1-L-C003xBS004;ALG-S2-L-C004-SAN-SW01;ALG-S1-L-C003xBS004-ILO.dbss.otalgerie.com;ALG-S2-L-C005-OA1;;;;;ALG-S2-L-C004-SAN-SW01;;;;;DZ-DC1-BLS-C008-SW01-2;;;;;;
;m11air1;;;;djezzy-dc1-mm8;;;;m11sdp20b;;;;;;;;;;;;;;;;rc51e00vm003p;;;;;;;;;;ALG-S1-L-C003xBS005;ALG-S2-L-C004-SAN-SW02;ALG-S1-L-C003xBS005-ILO.dbss.otalgerie.com;ALG-S2-L-C006-OA1;;;;;ALG-S2-L-C004-SAN-SW02;;;;;DZ-DC1-BLS-C008-SW03-4;;;;;;
