;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Channels Team;Channels Team;Order Management Team;Channels Team;Channels Team;Channels Team;Channels Team;Channels Team;Channels Team;Channels Team;Order Management Team;Billing Team;Infra Team;Infra Team;Infra Team;Order Management Team;Order Management Team;Order Management Team;Order Management Team;Order Management Team;Infra Team;Infra Team;Infra Team;Order Management Team;Security Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Order Management Team;Infra Team;Order Management Team;Infra Team
;m11air2;;;;djezzy-dc1-OL-SERVER;;;;m11sdp21a;;;;;;;;;;;;;;;;rc51e00vm003q;;;;;;;;;;ALG-S1-L-C003xBS006;ALG-S2-L-C005-SAN-SW01;ALG-S1-L-C003xBS006-ILO.dbss.otalgerie.com;ALG-S2-L-C006-OA2;;;;;ALG-S2-L-C005-SAN-SW01;;;;;DZ-DC1-BLS-C009-SW01-2;;;;;;
;m11air3;;;;djezzy-dc1-OL-SERVER2;;;;;;;;;;;;;;;;;;;;rc51e00vm003r;;;;;;;;;;ALG-S1-L-C003xBS007;ALG-S2-L-C005-SAN-SW02;ALG-S1-L-C003xBS007-ILO.dbss.otalgerie.com;ALG2-S2-L-C005-OA2;;;;;ALG-S2-L-C005-SAN-SW02;;;;;DZ-DC1-BLS-C009-SW03-4;;;;;;
;ngnbair10;;;;djezzy-dc1-OL-SERVER3;;;;;;;;;;;;;;;;;;;;rc51e00vm003s;;;;;;;;;;ALG-S1-L-C003xBS008;ALG-S2-L-C006-SAN-SW01;ALG-S1-L-C003xBS008-ILO.dbss.otalgerie.com;;;;;;ALG-S2-L-C006-SAN-SW01;;;;;DZ-DC1-SSW-NW001-2;;;;;;
;ngnbair11;;;;djezzy-dc1-OL-SERVER4;;;;;;;;;;;;;;;;;;;;rc51e00vm003t;;;;;;;;;;ALG-S1-L-C003xBS011;ALG-S2-L-C006-SAN-SW02;ALG-S1-L-C003xBS011-ILO.dbss.otalgerie.com;;;;;;ALG-S2-L-C006-SAN-SW02;;;;;DZ-DC1-SSW-NW003-4;;;;;;
;;;;;djezzy-dc1-OL-SERVER5;;;;;;;;;;;;;;;;;;;;rc51e00vm003u;;;;;;;;;;ALG-S1-L-C004xBS001;ALG-S2-L-SAN-SW01;ALG-S1-L-C004xBS001-ILO.dbss.otalgerie.com;;;;;;ALG-S2-L-SAN-SW01;;;;;DZ-DC1-TOR-NW001-2;;;;;;
;;;;;djezzy-dc2-mm-esa;;;;;;;;;;;;;;;;;;;;rc51e00vm003v;;;;;;;;;;ALG-S1-L-C004xBS002;ALG-S2-L-SAN-SW02;ALG-S1-L-C004xBS002-ILO.dbss.otalgerie.com;;;;;;ALG-S2-L-SAN-SW02;;;;;DZ-DC1-TOR-NW003-4;;;;;;
;;;;;djezzy-dc2-mm1;;;;;;;;;;;;;;;;;;;;rc51e00vm003w;;;;;;;;;;ALG-S1-L-C004xBS003;;ALG-S1-L-C004xBS003-ILO.dbss.otalgerie.com;;;;;;;;;;;DZ-DC2-BLS-C001-SW01-2;;;;;;
;;;;;djezzy-dc2-mm2;;;;;;;;;;;;;;;;;;;;rc51e00vm003x;;;;;;;;;;ALG-S1-L-C004xBS004;;ALG-S1-L-C004xBS004-ILO.dbss.otalgerie.com;;;;;;;;;;;DZ-DC2-BLS-C001-SW03-4;;;;;;
;;;;;djezzy-dc2-mm3;;;;;;;;;;;;;;;;;;;;rc51e00vm003y;;;;;;;;;;ALG-S1-L-C004xBS005;;ALG-S1-L-C004xBS005-ILO.dbss.otalgerie.com;;;;;;;;;;;DZ-DC2-BLS-C002-SW01-2;;;;;;
;;;;;djezzy-dc2-mm4;;;;;;;;;;;;;;;;;;;;rc51e00vm003z;;;;;;;;;;ALG-S1-L-C004xBS006;;ALG-S1-L-C004xBS006-ILO.dbss.otalgerie.com;;;;;;;;;;;DZ-DC2-BLS-C002-SW03-4;;;;;;
;;;;;djezzy-dc2-mm5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C004xBS007;;ALG-S1-L-C004xBS007-ILO.dbss.otalgerie.com;;;;;;;;;;;DZ-DC2-BLS-C003-SW01-2;;;;;;
;;;;;djezzy-dc2-mm6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C004xBS011;;ALG-S1-L-C004xBS011-ILO.dbss.otalgerie.com;;;;;;;;;;;DZ-DC2-BLS-C003-SW03-4;;;;;;
;;;;;djezzy-dc2-mm7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C005xBS001;;ALG-S1-L-C005xBS001-ILO.dbss.otalgerie.com;;;;;;;;;;;DZ-DC2-BLS-C004-SW01-2;;;;;;
;;;;;djezzy-dc2-mm8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C005xBS002;;ALG-S1-L-C005xBS002-ILO.dbss.otalgerie.com;;;;;;;;;;;DZ-DC2-BLS-C004-SW03-4;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C005xBS003;;ALG-S1-L-C005xBS003-ILO.dbss.otalgerie.com;;;;;;;;;;;DZ-DC2-BLS-C005-SW01-2;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C005xBS004;;ALG-S1-L-C005xBS004-ILO.dbss.otalgerie.com;;;;;;;;;;;DZ-DC2-BLS-C005-SW03-4;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C005xBS005;;ALG-S1-L-C005xBS005-ILO.dbss.otalgerie.com;;;;;;;;;;;DZ-DC2-BLS-C006-SW01-2;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C005xBS006;;ALG-S1-L-C005xBS006-ILO.dbss.otalgerie.com;;;;;;;;;;;DZ-DC2-BLS-C006-SW03-4;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C005xBS007;;ALG-S1-L-C005xBS007-ILO.dbss.otalgerie.com;;;;;;;;;;;DZ-DC2-SSW-NW001-2;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C005xBS008;;ALG-S1-L-C005xBS008-ILO.dbss.otalgerie.com;;;;;;;;;;;DZ-DC2-TOR-NW001-2;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C005xBS011;;ALG-S1-L-C005xBS011-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C006xBS001;;ALG-S1-L-C006xBS001-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C006xBS002;;ALG-S1-L-C006xBS002-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C006xBS003;;ALG-S1-L-C006xBS003-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C006xBS004;;ALG-S1-L-C006xBS004-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C006xBS005;;ALG-S1-L-C006xBS005-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C006xBS006;;ALG-S1-L-C006xBS006-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C006xBS007;;ALG-S1-L-C006xBS007-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C006xBS008;;ALG-S1-L-C006xBS008-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S1-L-C006xBS011;;ALG-S1-L-C006xBS011-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C001xBS001;;ALG-S2-L-C001xBS001-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C001xBS002;;ALG-S2-L-C001xBS002-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C001xBS003;;ALG-S2-L-C001xBS003-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C001xBS005;;ALG-S2-L-C001xBS005-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C001xBS006;;ALG-S2-L-C001xBS006-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C001xBS007;;ALG-S2-L-C001xBS007-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C001xBS008;;ALG-S2-L-C001xBS008-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C001xBS013;;ALG-S2-L-C001xBS013-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C001xBS014;;ALG-S2-L-C001xBS014-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C002xBS001;;ALG-S2-L-C002xBS001-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C002xBS003;;ALG-S2-L-C002xBS002-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C002xBS005;;ALG-S2-L-C002xBS003-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C002xBS006;;ALG-S2-L-C002xBS005-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C002xBS007;;ALG-S2-L-C002xBS006-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C002xBS008;;ALG-S2-L-C002xBS007-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C002xBS013;;ALG-S2-L-C002xBS008-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C003xBS001;;ALG-S2-L-C002xBS013-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C003xBS002;;ALG-S2-L-C003xBS001-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C003xBS003;;ALG-S2-L-C003xBS002-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C003xBS004;;ALG-S2-L-C003xBS003-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C003xBS005;;ALG-S2-L-C003xBS004-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C003xBS006;;ALG-S2-L-C003xBS005-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C003xBS007;;ALG-S2-L-C003xBS006-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C003xBS008;;ALG-S2-L-C003xBS007-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C003xBS011;;ALG-S2-L-C003xBS008-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C004xBS001;;ALG-S2-L-C003xBS011-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C004xBS002;;ALG-S2-L-C004xBS001-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C004xBS003;;ALG-S2-L-C004xBS002-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C004xBS004;;ALG-S2-L-C004xBS003-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C004xBS005;;ALG-S2-L-C004xBS004-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C004xBS006;;ALG-S2-L-C004xBS005-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C004xBS007;;ALG-S2-L-C004xBS006-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C004xBS011;;ALG-S2-L-C004xBS007-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;alg-s2-l-c004xbs012.dbss.otalgerie.com;;ALG-S2-L-C004xBS011-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C005xBS001;;ALG-S2-L-C005xBS001-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C005xBS002;;ALG-S2-L-C005xBS002-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C005xBS003;;ALG-S2-L-C005xBS003-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C005xBS004;;ALG-S2-L-C005xBS004-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C005xBS005;;ALG-S2-L-C005xBS005-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C005xBS006;;ALG-S2-L-C005xBS006-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C005xBS007;;ALG-S2-L-C005xBS007-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C005xBS008;;ALG-S2-L-C005xBS008-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C005xBS011;;ALG-S2-L-C005xBS011-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C006xBS001;;ALG-S2-L-C006xBS001-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C006xBS002;;ALG-S2-L-C006xBS002-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C006xBS003;;ALG-S2-L-C006xBS003-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C006xBS004;;ALG-S2-L-C006xBS004-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C006xBS005;;ALG-S2-L-C006xBS005-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C006xBS006;;ALG-S2-L-C006xBS006-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C006xBS007;;ALG-S2-L-C006xBS007-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C006xBS008;;ALG-S2-L-C006xBS008-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALG-S2-L-C006xBS011-ILO.dbss.otalgerie.com;;;;;;;;;;;;;;;;;